question_text,question_img_url,difficulty_level,explanation,explanation_img_url,chapter_id,question_choice_1,question_choice_2,question_choice_3,question_choice_4,correct_choice,,,,,,,,,,,,,,,
 How many significant figures present in 0.00123,,easy,Significant figures are the number of digits excluding the zero from the start,,20,3,6,4,5,1,,,,,,,,,,,,,easy,moderate,difficult
A zero digit in any measurement can be,,moderate,If zero comes in the middle or end like 202 and 200 are considered to be significant. But zero are the start are not considered to be significant like in the previous MCQ,,20,always significant,always non significant,can be significant and non significant,None,3,,,,,,,,,,,,,,,
"In order to reduced random error, we 
",,moderate,The random error is the slight variation in the measurements varies from instrument to instrument. In order to reduce we take the mean of several measurements,,20,take mean of several measurements,compare the instrument with more accurate one,take zero correction,All of these,1,,,,,,,,,,,,1,2,3,4
"An error in the measurement is the result of
",,easy,"Error is the dispersion from the mean or actual value of any measurements. It could be caused due to inexperience person, instrumental error and inappropriate method.",,20,Inexperienced person,"Instrument error",Inappropriate method, All of these,4,,,,,,,,,,,,,,,
"Complete the following
1 deca=____",,easy,"Deca is a prefix which is equal to
1 deca $=10^{1}$",,20,$10^1$,$10^2$,$10^12$,$10^-1$,1,,,,,,,,,,,,,,,
 Scientific notation of 1567 is,,moderate,"It can be written as
1567.00 Now we need to move the decimal points to the left, right between 1 and 5.
So it can be written as  $1.5 \times10^{3}$",,20,$1.5 \times $10^{3}$,$2^12$,0.000087,1 / 0.000087,1,,,,,,,,,,,,,,,
"The dimension of strain is
",,easy," As we know that 
M is the dimension for unit “kg”
L is the dimension for unit “meter”
Strain = change in length/ original length
So it is unit less as it is a ratio of two similar quantities",,20,$\left[\mathrm{M}^{\circ} \mathrm{L}^{0}\right]$,$\left[\mathrm{M}^{1} \mathrm{L}^{0}\right]$,$\left[\mathrm{M}^{\circ} \mathrm{L}^{1}\right]$,$\left[\mathrm{M}^{1} \mathrm{L}^{1}\right]$,1,,,,,,,,,,,,,,,
"\left(5.0 \times 10^{6}\right) \times\left(5.0 \times 10^{6}\right) can be written as
",,difficult,"By multiplying both we get
\[
25 \times 10^{12}
\]
Now we need to move the decimal point between 2 and $5,$ so add one in power of 10
So $2.5 \times 10^{13}$",,20,2.5 \times 10^{12},2.5 \times 10^{11},2.5 \times 10^{13},2.5 \times 10^{12},3,,,,,,,,,,,,,,,
 Which of the following has the highest power,,moderate,"the power of prefix is given as under
1 giga $=10^{9}$
$1 \mathrm{kilo}=10^{3}$
peta $=10^{15}$
$1 \mathrm{mega}=10^{\circ}$",,20,giga,peta,kilo,mega,2,,,,,,,,,,,,,,,
 Steradian is a supplementary unit used for,,easy,Sterradian is neither included in Base unit nor in Derived unit. Sterradian is included in supplementary unit which is a unit used for solid angle.,,20,plane angle,Both solid and plane,solid angle,C,3,,,,,,,,,,,,,,,
SI unit for coefficient of viscosity,,moderate,"We know that
$\mathrm{F}=6 \pi \mathrm{n} \mathrm{r} \mathrm{v}$
Where $F$ represents force, $r$ is the radius, $v$ means velocity and $n$ is the viscosity constant
$\mathrm{n}=\mathrm{F} / 6 \pi \mathrm{rv}$
$\mathrm{n}=\mathrm{kgms}^{-2} \mathrm{m}^{-1} \mathrm{m}^{-1} \mathrm{s}^{1}$
$\mathrm{n}=\mathrm{kgm}^{-1} \mathrm{s}^{-1}$",,20,$\mathrm{kg} \mathrm{m}^{-1} \mathrm{s}^{-1}$,$\mathrm{kg} \mathrm{m} \mathrm{s}^{-3}$,$\mathrm{kg} \mathrm{m}^{-2} \mathrm{s}^{-2}$,$\mathrm{kg} \mathrm{m}^{2} \mathrm{s}^{-3}$,1,,,,,,,,,,,,,,,
 Smaller the least count of the measurement more is the measurement,,easy,In order to measure the quantity with more precision we are required to increase the least count of the measurement,,20,precise,uncertain,accurate,None of these,1,,,,,,,,,,,,,,,
SI unit for temperature,,moderate,"Standard international unit for temperature is Kelvin.",,20,kelvin,Degree Fahrenheit,Degree C,Degree kelvin,1,,,,,,,,,,,,,,,
 Which pair has the same dimension,,moderate,"So there are three quantities work, energy and torque
We know that
W = Fd = Joule
E = KE + PE = Fd= Joule
E is the total energy KE means kinetic energy and PE is the potential energy
Torque = rF = Nm =Joule 
r represents moment arm
So all have same units",,20,"work, energy","work, torque","energy, torque",All are correct,4,,,,,,,,,,,,,,,
 Percentage uncertainty in radius r is 5 \%. The percentage uncertainty while measuring the volume is,,difficult,"We know that
\[
\text { Volume }=(4 / 3) \pi r^{3}
\]
$\%$ uncertainty in Volume $=3$ x \%uncertainty in
$\%$ uncertainty in Volume $=3 \times 5$
$\%$ uncertainty in Volume $=15 \%$",,20,6 \%,15\%,5 \%,25\%,2,,,,,,,,,,,,,,,
The unit of force is _____ represented by_____,,moderate,The unit of force is newton represented by N according to the rules to represents the unit,,20,"Newton, N","Newton, n","newton, n   ","newton, N",4,,,,,,,,,,,,,,,
Which one is not base quantity,,easy,"Velocity is not a base quantity as it is derived from base quantities
As,
$\mathrm{V}=\Delta \mathrm{d} / \mathrm{t}=\mathrm{m} / \mathrm{sec}$
Where d and t is based quantity",,20,mass,temperature,length,velocity,4,,,,,,,,,,,,,,,
 The length of a pencil is 10.2 cm. Out of the 2.34cm is cut out. The remaining length of the pencil according to the idea of the significant figure?,,difficult,"simple math is
10.2
-2.34
7.86
According to the idea of significant figure we are require to round out to two significant
figures as the last significant figure is greater than $5 .$ So $7.9 \mathrm{cm}$",,20,7.82 cm,7 cm,7.8 cm,7.9 cm,4,,,,,,,,,,,,,,,
"22.3 $\times$ 1.2=_______ according to significant figure.
",,difficult,"As the least number of significant digit in the above multiplication is 2. So we are required to round the answer up to two significant figures. So by round up we got
26.76 round up to two decimal digit = 27",,20,26.76,26.7,26,27,4,,,,,,,,,,,,,,,
Pick the incorrect representation ,,moderate,"$1000 \mathrm{um}$ is the incorrect representation. As it can be re written in the correct form as
$1000 \mathrm{um}=1 \times 10^{3} \times 10^{-6} \mathrm{m}=1 \times 10^{-3}=1 \mathrm{mm}$",,20,1mm,50kg,10mm,1000um,4,,,,,,,,,,,,,,,
"The least count of the stop watch is $1 / 5$ sec. the time of the 20 oscillation of a pendulum
is measured to be 25 sec, what is the maximum percentage error in the measurement?",,difficult,"Least count of watch $=1 / 5=0.2$
Time period of 1 oscillation $=25 / 20=1.25 \mathrm{sec}$
Uncertainty in the measurement $=0.2 / 20=0.01 \mathrm{sec}$
$\%$ error in the measurement $=(0.01) / 1.25 \times 100=0.8 \%$",,20,8 \%,0.8 \%,1 \%,16 \%,2,,,,,,,,,,,,,,,
The physical quantity which has the dimension formula $\mathrm{M}^{1} \mathrm{L}^{-3}$,,moderate,"We know that
\[
\text { Density }=\mathrm{m} / \mathrm{V}=\mathrm{kg} / \mathrm{m}^{3}=\left[\mathrm{M}^{1} \mathrm{L}^{-3}\right]
\]
$\mathrm{V}$ is the volume and $\mathrm{m}$ is the mass",,20,Surface density,solar constant,Density,compressibility,3,,,,,,,,,,,,,,,
 The dimension does not give any information about,,easy,"Dimension of a quantity is just like units and contain no information about the constant.",,20,proportionality constant,Units,formula,none,1,,,,,,,,,,,,,,,
"If the equation is $x=a t+b t^{2}$ where $x$ has unit of meter and $t$ ha measured in hours, then
the unit of $b$ is",,moderate,"We know that the unit of $x$ is meter. thas unit of hours.
$b t^{2}$ must have the unit of meters
so b has unit = meter/ hour $^{2}$",,20,meter/hour,meter $^{2} /$ hour,meter/hour $^{2}$,meter,3,,,,,,,,,,,,,,,
"We have equation $v=\sqrt{(\mathrm{F} / \mathrm{m})}$ in which $\mathrm{v}$ is the velocity and $\mathrm{F}$ is the force then then the
dimension of $\mathrm{m}$ is",,difficult,"We know that v has the unit $\mathrm{m} / \mathrm{s}^{2}$
$\mathrm{F}$ is the force having unit $\mathrm{kgms}^{-2}$
Now m should have unit $\mathrm{kg} / \mathrm{s}$
So m has the dimension
$\left[\mathrm{M}^{1} \mathrm{L}^{\circ} \mathrm{T}^{-1}\right]$",,20,$\left[\mathrm{M}^{1} \mathrm{L}^{1} \mathrm{T}^{0}\right]$,$\left[\mathrm{M}^{1} \mathrm{L}^{-1} \mathrm{T}^{0}\right]$,$\left[\mathrm{M}^{1} \mathrm{L}^{1} \mathrm{T}^{-1}\right]$,$\left[\mathrm{M}^{1} \mathrm{L}^{\circ} \mathrm{T}^{-1}\right]$,4,,,,,,,,,,,,,,,
A dimensionless quantity ,,easy,A dimensionless quantity may have units. We know that unit to measure the angle is radian but it has no dimension.,,20, may have unit ,Never have a unit,always have unit,None of these,1,,,,,,,,,,,,,,,
Which of the reading from the following instrument is considered to be more precise,,moderate,"We know that more the least count more will be the precision 
So here Screw gauge has relatively more least count. Hence screw gauge is considered to be more precise",,20,Screw gauge,Meter rod reading,Vernier caliper,all have same precision,1,,,,,,,,,,,,,,,
"Two measurement $x_1=87.32 \pm 0.2, x _2=67.32 \pm 0.5$ are subtracted then the total
uncertainty in the answer is",,difficult,The total uncertainty $=0.5+0.2=0.7$,,20,0.3,-0.3,0.5,0.7,4,,,,,,,,,,,,,,,
If the error in length of one side of square is $1 \%$. Then the error in the area of the square is,,moderate,"The \% length of square is $=1 \%$
Formula of area of cube $=1^{2}$
\%error in the area $=2 \times 1 \%=4 \%$",,20,2 \%,5 \%,1 \%,insufficient information,1,,,,,,,,,,,,,,,
The time for 20 vibrations of simple pendulum is recorded by stop watch having least count of 0.1s and it comes out to be 54.6 sec. The uncertainty in the time period is,,moderate,"We know that
Time taken for one vibration $=54.6 / 20=2.73 \mathrm{sec}$
Uncertainty in the time period $=0.1 / 20=5 \times 10^{-3} \mathrm{sec}$",,20,0.1sec,0.001sec,0.005sec,0.003sec,3,,,,,,,,,,,,,,,
"The sum of 2.745, 8.98, 1.890 up to correct significant figure is",,moderate,If we sum then all we get 13.615. But we have to notice the significant figures for the number having least significant figures which is 8.98. So we have to round our answer to 3 significant figures. So the answer is 13.6,,20,13.615,13.6,13.61,13,2,,,,,,,,,,,,,,,
Which of the following is not the discipline of Physical Sciences?,,easy,Zoology is the branch of science in which we study animal and plants behavior and characteristics,,20,Chemistry,Geology,Zoology,Physics,3,,,,,,,,,,,,,,,
The study of molecules is done in which frontier of fundamental sciences?,,easy,Information,,20,World of extremely large,world of complex matter,World of extremely small,none,2,,,,,,,,,,,,,,,
"A student measured the mass of an object, which comes out to be 7000kg. It is measured from the instrument with the accuracy of 10 kg. then the expected significant figures in the measurement is",,moderate,"Significant figures 7000 kg for 10kg accuracy$=3$
Significant figures 7000 kg for 100kg accuracy$=2$
Significant figures 7000 kg for 1000kg accuracy$=1$",,20,3,2,4,5,1,,,,,,,,,,,,,,,
The ratio of units surface tension and spring constant have units same as that of,,difficult,"We know that 
Surface tension  
F stands for force l is the length
Spring constant $=\mathrm{k}=\mathrm{F} / \mathrm{x}=\mathrm{N} / \mathrm{m}$
K is the spring constant x is the change in the length
By taking the ratio
Surface tension 'spring constant = unit less
Refiactive index and Magnification also have no units",,20,Refractive Index,Magnification,Both A and B,None of these,3,,,,,,,,,,,,,,,
1 femto $=$ ____ giga,,moderate,"$1 \mathrm{femto} =10^{-15}$
$1 \mathrm{giga}=10^{9}$
$1 \mathrm{femto}=10^{-24} \mathrm{x} 10^{9}=10^{-15}$",,20,$10^{-18}$,$10^{-42}$,$10^{-15}$,$10^{-24}$,4,,,,,,,,,,,,,,,
 The unit of frequency is Hz. What is the dimension of frequency,,easy,"We know that frequency is the reciprocal of time period
$\mathrm{f}=1 / \mathrm{T}$
frequency has unit 1/sec
so the dimension is $\left[\mathrm{M}^{\circ} \mathrm{L}^{\circ} \mathrm{T}^{-1}\right]$",,20,$\left[\mathrm{M}^{\circ} \mathrm{L}^{\circ} \mathrm{T}^{-1}\right]$,$\left[\mathrm{MLT}^{1}\right]$,$\left[\mathrm{M}^{\circ} \mathrm{L}^{-1} \mathrm{T}^{1}\right]$,none of these,1,,,,,,,,,,,,,,,
"What is the angle between Y and X as X and Y is related as
A$+$B$=$X , Y$=$B$=$A",,moderate,"What is the angle between Y and X as X and Y is related as
$A+B=X$ , $Y=B=A$""	null	moderate	""The addition of vector is commutative
$A+B=B+A$
$X=Y$
Hence there will 0 angle between X and Y",,27,180,90,0,60,3,,,,,,,,,,,,,,,
The minimum number of vectors with unequal magnitude whose resultant can be zero,,moderate,"The resultant of two vectors can be zero if they are equal in magnitude and opposite in direction.
The minimum number of vectors have unequal magnitude whose resultant can be zero is 3.",,27,2,1,3,4,3,,,,,,,,,,,,,,,
" The vector $\mathrm{B}$ is represented by rectangular coordinates as $\mathrm{B}=-5 \mathrm{i}+2 \mathrm{j}$, then the value of
angle is",,moderate,"We know that
$\tan \theta=(y / x)$
$\theta=\tan ^{-1}(-2 / 5)$",,27,$\theta=\tan ^{-1}(-2 / 5)$,$\theta=\tan ^{-1}(2 / 5)$,$\theta=\tan ^{-1}(-5 / 2)$,$\theta=\tan ^{-1}(5 / 2)$,1,,,,,,,,,,,,,,,
"In the figure
The angle between vector $A$ and $y$ axis
is $30^{\circ}$. Then the magnitude of $y$ component",http://d15o1jx56rxevg.cloudfront.net/ecat/physics/p2_Vectors_and_equilibrium/p2%20q4.PNG,difficult,"Angle between $A$ and $y$ axis $=30$
Angle between $A$ and $x$ axis $=90-30=60$
We know that
$\sin \theta=(P / H)$
$\sin \theta=(y / A)$
\[
\begin{array}{l}
\sin 60=y / A \\
y=(\sqrt{3} / 2) A
\end{array}
\]",,27, $(1 / \sqrt{2}) \mathrm{A}$,$(2 / \sqrt{2}) \mathrm{A}$,$(\sqrt{3} / 2) \mathrm{A}$, $(\sqrt{3}) \mathrm{A}$,3,,,,,,,,,,,,,,,
The angle of $A=2 i+\sqrt{12}$ j with $y$ axis,,difficult,"$\tan \theta=(y / x)$
$\theta=\tan ^{-1}(\sqrt{12 / 2})$
$\theta=60$
Now the angle with y axis $=90-60=30$",,27,60,20,90,30,4,,,,,,,,,,,,,,,
The pair forces by which we can have resultant of 10N,,easy,All pairs can have the resultant of 10N depending on the angle between them,,27,"5N,5N","2N,8N","4N,6N",All,4,,,,,,,,,,,,,,,
"A force of 20N acts on x axis of a body, its y component is",,moderate,"A force of 20N is acting on x axis and hence no force is acting on y axis
Force on y axis$=$0N
Resultant$=$20",,27,20N,0N,40N,90N,4,,,,,,,,,,,,,,,
"The resultant of FIG. is,",http://d15o1jx56rxevg.cloudfront.net/ecat/physics/p2_Vectors_and_equilibrium/p2q8.PNG,moderate,"If we try to draw resultant vector of the above vector, we find out that the resultant vector is 0. If a closed figure is obtained by adding the vectors from head to tail rule then the resultant vector is zero.",,27,$R=A+B-C$, $R=A-B-C$, $R=C$,$R=0$,4,,,,,,,,,,,,,,,
Position vector in yz plane is,http://d15o1jx56rxevg.cloudfront.net/ecat/physics/p2_Vectors_and_equilibrium/p2q9.PNG,moderate,"There are specific names given to the unit vector for x, y and z axis as i, j and k respectively.
j unit vector is related with y axis and z represents the unit vector in z axis
So the position vector in yz axis is
$bj+ck$",,27,$bj+ck$,$ai+ck$,$ai+bj+ck$,$ai+bj$,1,,,,,,,,,,,,,,,
There are 2 unit vectors that are located on the xy axis as shown in the figure. Their resultant will be,http://d15o1jx56rxevg.cloudfront.net/ecat/physics/p2_Vectors_and_equilibrium/p2q10.PNG,difficult,"The unit vectors have magnitude 1
The two unit vector on $x$ y axis is i and j respectively
The magnitude is given by
Magnitude $=\sqrt{1+1}=\sqrt{2}$",,27,2,0,$\sqrt{2}$,$\sqrt{3}$,3,,,,,,,,,,,,,,,
In the following figure the angle between A and B is,https://d15o1jx56rxevg.cloudfront.net/ecat/physics/p2_Vectors_and_equilibrium/p2q11.PNG,difficult,"We know that
\[
\begin{array}{l}
\cos \theta=(B / H) \\
\cos \theta=(-A / B)
\end{array}
\]
the minus sign above represents the opposite direction of vector A. Because the angle is
between $A$ and $B$",,27,$\sin ^{-1}(-\mathrm{A} / \mathrm{B})$,$\tan ^{1}(-\mathrm{A} / \mathrm{B})$,$\cos ^{1}(-A / B)$,$\cos ^{1}(\mathrm{A} / \mathrm{B})$,3,,,,,,,,,,,,,,,
Two forces acting on an object and the resultant is 0. What do you conclude from this,,easy,"The resultant of two vectors can be zero if they are equal in magnitude and opposite in direction.
The minimum number of vectors have unequal magnitude whose resultant can be zero is 3",,27,two force of same magnitude but opposite angle,two force of same magnitude but same angle,two force of same magnitude and 30 angle between them,two force of same magnitude and 45 angle between them,1,,,,,,,,,,,,,,,
"The dot product of the vector A and B will be, if the magnitude of A and B is 100. The angle between A and B is 60",https://d15o1jx56rxevg.cloudfront.net/ecat/physics/p2_Vectors_and_equilibrium/p2q13.PNG,difficult,"From the information given in the question
$\theta=60$
$A B=100$
$A \cdot B=A B \cos \theta$
$\mathrm{A} \cdot \mathrm{B}=100 \cos 60$
$\mathrm{A} \cdot \mathrm{B}=50$",,27,25,100,50,75,3,,,,,,,,,,,,,,,
Two vectors will be perpendicular if,https://d15o1jx56rxevg.cloudfront.net/ecat/physics/p2_Vectors_and_equilibrium/p2q14.PNG,moderate,"Two vectors must be perpendicular if the y components of both the vector are of opposite sign
$b=1$ then both the vectors have opposite sign so both are perpendicular",,27,$b=0$,$b=1$,$b=-1$,$b=-1 / 2$,2,,,,,,,,,,,,,,,
If $A=3i+4j$ and $B=6i+8j  the component of vector A along B is,,moderate,"A along means $A \cos \theta$
We know that
$A \cdot B=A B \cos \theta \quad A \cos \theta=A \cdot B / B$
$A\cos\theta$ $=(18+32) /\sqrt{64+36}=5$",,27,5,$\sqrt{2} \quad$,50,10,1,,,,,,,,,,,,,,,
Referring to the previous question what will be the dot product of A and B,,moderate,"We know that
$A \cdot B=A B \cos \theta$
$A=3 i+4 j$ and $B=6 i+8 j$
$A \cdot B=(3 \times 6)+(4 \times 8)$
$A \cdot B=(18)+(32)$
$A \cdot B=50$",,27,50,5,100,10,1,,,,,,,,,,,,,,,
$[(i \times j) \times j]\cdot i$,,difficult,"$i\times j = k$
$k \times j=-i$
$-i . i=-1$",,27,1,-1,0,undefined,2,,,,,,,,,,,,,,,
"Vectors $A, B$ and $C$ lies in the same plane that is xy axis then the result of $[B .(A \times C)]$ is",,difficult,"$A \times B$ lies on $z$ plane $A$ and $B$ lies on xy axis
B. $(A \times B)=B(A \times B) \cos 90=0$
As the angle between $z$ axis and $x y$ axis is 90",,27,0,1,$AB\sin\theta$,cannot be predicted,1,,,,,,,,,,,,,,,
"The line of action of force $F=(2 i-3 j+4 k)$ passes through the point whose position vector
is $i-2 j+k$. The torque about a point whose position vector is $(2 i+j+k)$ is",,difficult,"Position vector of point $\mathrm{A}=\mathrm{r}_{1}=2 \mathrm{i}+\mathrm{j}+\mathrm{k}$
The position vector of point $\mathrm{P}=\mathrm{r}_{2}=\mathrm{i}-2 \mathrm{j}+\mathrm{k}$
$\mathrm{AP}=\mathrm{r}_{2}-\mathrm{r}_{1}=\mathrm{r}$
Torque $=\operatorname{r}\times F=(-i-3 j) \times(2 i-3 j+4 k)$
\[
=-12 i+4 j+9 k \,\,\,N m
\]",,27,$4 i+3 j$,$3 \mathrm{k}+7 \mathrm{j}$,$-12 i+4 j+9 k$,$-3 i+4 j-7 k$,3,,,,,,,,,,,,,,,
 If $\mathrm{A} \cdot \mathrm{B}=0$ and $\mathrm{A} \times \mathrm{C}=0$ then the angle between $\mathrm{B}$ and $\mathrm{C}$ is,,difficult,"$\mathrm{A} \cdot \mathrm{B}=\mathrm{AB} \cos \theta=0$
$A \times B=A B \sin \theta=0$
$\mathrm{AB} \cos \theta=\mathrm{AB} \sin \theta=0$
$\tan \theta=0$
$\theta=90$",,27,0,90,60,180,2,,,,,,,,,,,,,,,
If $A \times B=B \times A$ then the angle between $A$ and $B$ is,,moderate,"$AB\cos\theta=BA\sin\theta$
$tan\theta=1$
$\theta=0$",,27,0,90,180,none of these,1,,,,,,,,,,,,,,,
$(\mathrm{A} \cdot \mathrm{B})^{2}+|\mathrm{A} \times \mathrm{B}|^{2}=$,,difficult,"$(A \cdot B)^{2}=(A B \cos \theta)^{2}$
$|A \times B|^{2}=(A B \sin \theta)^{2}$
$(A B \cos \theta)^{2}+(A B \sin \theta)^{2}$
$\mathrm{A}^{2} \mathrm{B}^{2}$",,27,$A^{2} B^{2} \cos ^{2} \theta$,$\mathrm{A}^{2} \mathrm{B}^{2}$,$\mathrm{A}^{2} \mathrm{B}^{2} \sin ^{2} \theta$,$\mathrm{AB}$,2,,,,,,,,,,,,,,,
"If A is vertically downward and B is directed along north, then the direction of $A \times B$ ?",,moderate,"By rolling the fingers in the direction from A to B while keeping the thumb erect, the thumb will point to the direction of A x B",https://d15o1jx56rxevg.cloudfront.net/ecat/physics/p2_Vectors_and_equilibrium/p2e23.PNG,27,north,south,west,east,4,,,,,,,,,,,,,,,
"The slope of the graph between angular momentum and time give us",,moderate,"Slope = change in y axis/ change in x axis
$=$ angular momentum / time
Units $=\mathrm{kg} \mathrm{m}^{2} \mathrm{s}^{-1} / \mathrm{s}=\mathrm{kg} \mathrm{m}^{2} \mathrm{s}^{-2}$
Units of torque $=\mathrm{Nm}=\mathrm{kgm}^{2} \mathrm{s}^{-2}$",,27,$\tau$,F$\tau$,acceleration,alpha,1,,,,,,,,,,,,,,,
What will be the couple for this figure,https://d15o1jx56rxevg.cloudfront.net/ecat/physics/p2_Vectors_and_equilibrium/p2q25.PNG,easy,Couple $=(d / 2) F+(d / 2) F=d F$,,27, $d F$,$\mathrm{dF} / 2$,$2 \mathrm{dF}$,$d F \cos \theta$,1,,,,,,,,,,,,,,,
" A car is moving on earth with constant velocity in a straight velocity. It is in ________equilibrium",,easy,"Dynamic Equilibrium means that $a=0$
Translation Equilibrium means some of all forces$ = 0$
Rotational Equilibrium means sum of all torque $= 0$
All the conditions is fulfill so D is the option",,27,translational,Dynamic,rotational,All of these,4,,,,,,,,,,,,,,,
The torque produced will be half of the maximum if the angle between r and F is,,moderate,"We know that
\( \mathrm{\tau }=\mathrm{F}_{\mathrm{r}} \sin \mathrm{\theta} \)
\( \mathrm{\tau}(\operatorname{maximum})=\mathrm{F}_{\mathrm{r}} \)
\( \mathcal{\tau}(\text { half of maximum })=(1 / 2) \mathrm{F}_{\mathrm{r}}\)
\( \sin \theta=1 / 2 \)
\( \theta=30 \)",,27,30,60,90,45,1,,,,,,,,,,,,,,,
A force passing through the center of gravity of body causes ______ motion.,,easy,A force passing through the center of gravity of an object will cause the body to move in one direction and torque produced is zero. Translational motion is the motion that tends to move the body in straight line/motion.,,27,translational,rotational,Both A and B,None of these,1,,,,,,,,,,,,,,,
A body is said to be in complete equilibrium if,,easy,"Complete equilibrium means both translation and rotational equilibrium
\( \Sigma \mathrm{F}=0 \) and \( \Sigma \mathrm{C}=0 \)",,27,\( \Sigma \mathrm{F}=0 \),\( \Sigma \mathrm{F}=0 \) and \( \Sigma C=0 \),\( \Sigma \mathrm{F}=0 \) or \( \Sigma \mathrm{C}=0 \),\( \Sigma C=0 \),2,,,,,,,,,,,,,,,
For couple which statement is correct,,moderate,For couple two forces are acting on the body with same magnitude and opposite direction and causing torque to produce. So the sum of all translational forces is zero,,27,\( \Sigma \mathrm{F}=0 \),\( \Sigma x=0 \),\( \Sigma C=0 \),All of these,1,,,,,,,,,,,,,,,
