question_text,question_img_url,difficulty_level,explanation,explanation_img_url,chapter_id,question_choice_1,question_choice_2,question_choice_3,question_choice_4,correct_choice,,,,,,,,,,,,,,,
What is the tension in each of rope which is holding a mass as shown in the figure?,https://d15o1jx56rxevg.cloudfront.net/ecat/physics/p2_Vectors_and_equilibrium/p2q31.PNG,difficult,"We can see from the figure that the body is in equilibrium
So \( \mathrm{Fx}=0 \)
\( F_{x}=0 \)
\[
\mathrm{Mg}=\mathrm{T} \sin \mathrm{e}+\mathrm{T} \sin \mathrm{e}
\]
Where \( \mathrm{T} \) is the tension \( \mathrm{g} \) is gravitational acceleration \( \mathrm{M} \) is the mass
\( \mathrm{Mg}=\mathrm{T} \sin 45+\mathrm{T} \sin 45 \)
\( \mathrm{T}=\mathrm{Mg} / \sqrt{2} \)",,27,\( \mathrm{Mg} \),\( \mathrm{Mg} / 2 \),\( \mathrm{Mg} / \sqrt{2} \),\( 2 \mathrm{Mg} \),3,,,,,,,,,,,,,,,
A uniform rod 30cm long is pivoted at its center. A 40N weight is hung 5cm from the left end. Where must a 50 newton weight be hung to maintain equilibrium?,,difficult,"We know that
Torque produced on left side = Torque produced on right side
(40)(10)sin90 =P(50)sin90
P= 8
P taking the whole rod = 8 +15 =23
So, weight must be hung 7cm from right end
",,27,5cm from left end,7cm from right end,6cm from rightend,8cm from right end,2,,,,,,,,,,,,,,,
The rod of total length of 100cm is suspended from center as shown in the figure. What will be the position of P so that the rod will remain stable.,https://d15o1jx56rxevg.cloudfront.net/ecat/physics/p2_Vectors_and_equilibrium/p2q33.PNG,difficult,"Torque produced on left side = Torque produced on right side
(50)(5)sin90 =P(10)sin90
P= 25
P taking the whole rod = 25 +50 =75",,27,90cm,2m,70cm,75cm,4,,,,,,,,,,,,,,,
Rectangular coordinates is also known as,,easy,Information,,27,Cartesian coordinate system,Polar coordinate system,Spherical coordinate system,Cylindrical coordinate system,1,,,,,,,,,,,,,,,
The resultant of two forces of equal magnitudes is also equal to the magnitude of the forces. The angle between them,,difficult,"$\theta=(2 \pi) / 3$
Let the angle between \( \mathrm{F}_{\mathrm{a}} \) and \( \mathrm{F}_{\mathrm{b}} \) be \( \theta \) and their resultant is \( \mathrm{F}_{\mathrm{r}} \). So
\( \left(\mathrm{F}_{\mathrm{r}}\right)^{2}=\left(\mathrm{F}_{\mathrm{a}}\right)^{2}+\left(\mathrm{F}_{\mathrm{b}}\right)^{2}+2 \mathrm{F}_{\mathrm{a}} \mathrm{F}_{\mathrm{b}} \\cos \theta \)
Now
Let, \( \mathrm{F}_{\mathrm{a}}=\mathrm{F}_{\mathrm{b}}=\mathrm{F}_{\mathrm{r}}=\mathrm{F} \)
So
\( \mathrm{F}^{2}=\mathrm{F}^{2}+\mathrm{F}^{2}+2 \mathrm{F}^{2} \cos \theta \)
\( \operatorname{cos\theta}=-(1 / 2) \)
therefore \( \theta=2 \pi / 3 \)",,27,30,60,120,90,3,,,,,,,,,,,,,,,
Which of the following is a unit vector,,moderate,"Take the magnitude of each and check it as must be equal to 1
Magnitude of option \( \left.(\mathrm{a})=\sqrt{(}(1 / \sqrt{3})^{2}+(1 / \sqrt{3})^{2}+(1 / \sqrt{3})^{2}\right)=1 \)
Magnitude of option \( \left.(\mathrm{c})=\sqrt{(}(0)^{2}+(0)^{2}+(1)\right)=1 \)
Unit vector is the vector that has unit/1 magnitude.",,27,\( (1 / \sqrt{3}) \mathrm{i}+(1 / \sqrt{3}) \mathrm{j}+(1 / \sqrt{3}) \mathrm{k} \),\( \sqrt{3} \mathrm{i}+\sqrt{3} \mathrm{j}+\sqrt{3} \mathrm{k} \),\( 0 \mathrm{i}+0 \mathrm{j}+1 \mathrm{k} \),Both A and C,4,,,,,,,,,,,,,,,
"A man does work from A to C ,C to D and D to B. the distance from A to C and D to B is 2 meter. If the distance from C to D is 30m then what is the total displacement",https://d15o1jx56rxevg.cloudfront.net/ecat/physics/p2_Vectors_and_equilibrium/p2q37.PNG,moderate,Total displacement is the shortest distance to cover part Point A to point B. The shortest distance from point A to point B is 30m.,,27,2,10,34,30,4,,,,,,,,,,,,,,,
_____ is the smallest particle of an element which may or may not have an independent existence:,,easy,"An atom is the smallest particle of an element. An atom is the smallest constituent unit of ordinary matter that constitutes a chemical element. Every solid, liquid, gas, and plasma are composed of neutral or ionized atoms. Atoms are extremely small; typical sizes are around 100 picometers. 
Supplementary info: Diatomic gases are gases in which the molecules that make it up naturally consist of two atoms of the same type. For example, oxygen as a gas will naturally consist of molecules that contain two oxygen atoms. Other diatomic gases include nitrogen and chlorine. A molecule is a group of atoms bonded together, representing the smallest fundamental unit of a chemical compound that can take part in a chemical reaction. A chemical compound is a chemical substance composed of many identical molecules composed of atoms from more than one element held together by chemical bonds. Two atoms of the same element bonded in a molecule do not form a chemical compound, since this would require two different elements.",,47,Di atomic Gas,atoma,molecule,compound,2,,,,,,,,,,,,,,,
" _____ determined the atomic masses of various elements and introduced the concepts of their symbols",,moderate," J. Berzelius determined the atomic masses of various elements. 
Supplementary info: Whereas Democritus was a Greek philosopher who lived between 470-380 B.C. He developed the concept of the 'atom', Greek for 'indivisible'. Democritus believed that everything in the universe was made up of atoms, which were microscopic and indestructible. Democritus had many remarkable insights for his time. Dalton's atomic theory proposed that all matter was composed of atoms, indivisible and indestructible building blocks. While all atoms of an element were identical, different elements had atoms of differing size and mass. The Persian physician Al-Razi (ca. 865-925), also known as Rhazes, prepared compilations that were influential in Western medicine for centuries. His monograph on smallpox and measles is still considered a medical classic.",,47,Democritus,John Dalton,Al Razi,J. Berzelius,4,,,,,,,,,,,,,,,
The properties of an element mostly corresponds to that isotope which has greater:,,easy,"Atoms that have the same number of protons, but different numbers of neutrons are known as isotopes. The relative abundance of an isotope is the percentage of atoms with a specific atomic mass found in a naturally occuring sample of an element. The properties of an element mostly correspond to that isotope which has greater relative abundance.",,47,Mass number,Atomic mass,Relative abundannce,None of these,3,,,,,,,,,,,,,,,
Diameter of an atom,,moderate," The diameter of an atom is $2 \times 10^{-10} \mathrm{m}$
$1 n m=10^{-9} m$
Diameter of an atom $=2 \times 10^{-10} \mathrm{m}=0.2 \mathrm{nm}$",,47,2nm,0.2nm,200nm,0.02nm,2,,,,,,,,,,,,,,,
Comment on the mass of an atom:,,moderate,The mass of an atom ranges from $10^{-27}$ to $10^{-25}$ kg. (fact),,47,It ranges from $10^{-27}$ to $10^{-25} \mathrm{kg}$,It ranges from $10^{-27}$ to $10^{-20} \mathrm{kg}$,It ranges from $10^{-30}$ to $10^{-25} \mathrm{kg}$,It ranges from $10^{-26}$ to $10^{-19} \mathrm{kg}$,1,,,,,,,,,,,,,,,
"Choose the correct option with respect to atomicity:",,difficult,"Hetro atomic molecules must have more than one type of atom, such as water $\left(\mathrm{H}_{2} \mathrm{O}\right)$ ) $. \mathrm{A}$ homoatomic molecule is a molecule consisting of atoms of the same element. examples are - oxygen $\left(\mathrm{O}_{2}\right),$ hydrogen $\left(\mathrm{H}_{2}\right),$ and nitrogen $\left(\mathrm{N}_{2}\right) .$ Homo atomic molecules are also called ""Diatomic"" molecules. Only B option shows the correct option, H exists as a di atomic molecule in nature $\left(\mathrm{H}_{2}\right)$ and has only one type of atoms in the molecule (Hydrogen).",,47,Ne exists as di homo atomic molecule,H exists as di homo atomic molecule,N exists as hetro polyatomic molecule,N exist as homo polyatomic molecule,2,,,,,,,,,,,,,,,
Which option shows the size of molecules correctly?,,difficult,"a macromolecule containing a very large number of atoms, such as a protein, nucleic acid, or synthetic polymer. a micro molecule refers to a molecule of relatively small size and low molecular weight as opposed to a macromolecule, which is large and with greater molecular weight. Silica is a simple micro molecule. Same goes for water, although it has strong covalent forces due to hydrogen bonding, it still forms a simple molecule. Proteins and lipids are complex macromolecule due to being very large structures and many types of bonding involved. Diamond is a macromolecule formed by each carbon atom attached to 4 other carbon atoms. It has strong covalent forces which makes it a complex hard crystal structure.",,47,Silica is a complex micro molecule,Diamond is a complex macromolecule,Water has strong forces and forms a complex macromolecule,Proteins and Lipids are simple micro molecules,2,,,,,,,,,,,,,,,
Size of a molecule does not depend on:,,moderate,"Physical state has no effect on the composition of molecule and its actual size. Physical state is dependent on the on the attraction between the molecules (M.P.), its valency (color) etc. Size of molecules depends on the rest of the options.",,47,Size of atom,Atomicity,Shape of molecule,Physical state,4,,,,,,,,,,,,,,,
Choose which statement shows the correct type of reaction with cation/ anion:,,difficult,"After uni-negative ion, when second electron is added then due to already present electron, electron-electron repulsion occurs, so to overcome this repulsion energy is given. That's why uni-negative ion is exothermic but di or tri-negative ion is endothermic",,47,Formation of cation is always exothermic,Formation of uni negative ion is endothermic,"Formation of uni-negative ion is exothermic, but formation of all other negative ions is endothermic",Formation of all positive ions are sometimes exothermic sometimes endothermic,3,,,,,,,,,,,,,,,
Anionic molecular ion:,,difficult,"An anion can have a positive charge on ions involved to form a molecule, but it will always possess a negative charge as a whole. Such as a carbonate ion ${CO}_{3}^{2-}$",,47,Will always have an overall negative charge on the molecule  ,Can have positive charge within the molecule which makes the overall charge on the molecule positive,Means an anion reacting with a charged particle,Will always undergo endothermic reactions,1,,,,,,,,,,,,,,,
A similarity between isotopes of same elements:,,difficult,"Isotopes are variants of a chemical element which differ in neutron number, and consequently in nucleon number. For example, $C^{12}$ and $C^{14}$. All isotopes of a given element have the same number of protons but different numbers of neutrons in each atom. Only the chemical properties of isotopes will be same due to having same number of electrons which leads to having same valence electrons which makes the chemical reaction with other elements same.",,47,Half life,"Mass number
",Chemical properties,Rate of reaction,3,,,,,,,,,,,,,,,
Sn (Tin) is a undeca-isotopic element. What does this mean?,,moderate,Un-deca means $(1+10)$ isotopes,,47,It has one isotope for every ten isotopes,It has eleven isotopes existing,It has 1+ charge on all ten isotopes of Sn,None of these,2,,,,,,,,,,,,,,,
Which of the following is not a part of a mass spectrometer?,,moderate,"Coolant is not a part of a mass spectrometer whereas a heater is present to convert the elements to gaseous form in the vaporization chamber
",https://d15o1jx56rxevg.cloudfront.net/ecat/chemistry/c1e13.PNG,47,Amplifier,Ionization chamber,Coolant,Ion collector / detector,3,,,,,,,,,,,,,,,
"what happens in the ionization chamber?",,moderate," Vaporized ions are hit by electron beams or Alpha beams to form positively charged cations which further pass through electric field (to deflect) and magnetic field until they are detected by the detector.
",,47,Electric field is applied to accelerate the positive ions,"On passing through magnetic field, deflection of positive ions takes place according to their mass/ charge ratio ","In this chamber sample of element is ionized by alpha Rays or by electron beam ",Ion collector receives positive ions according to their mass charge ratio related to isotopes,3,,,,,,,,,,,,,,,
The number of peaks obtained in mass spectrometry shows ,,moderate, It shows the number of isotopes present with their relative abundance which adds up to 100% in total,,47,relative abundance ,average mass of element ,number of isotopes,relative isotopic mass,1,,,,,,,,,,,,,,,
Which of the following compounds has a formula weight between 74 and 75 grams per mole?,,difficult,"Of the compounds listed, both choices (B) and (D) are covalent compounds and thus are measured in molecular weights, not formula weights. The formula weight of ${Mg}{Cl}_{2}$ is much too high $(24.3 amu + 2 \times 35.5 amu = 95.3$ amu per formula unit), eliminating choice (C). Only KCl fits the criteria $(39.1 amu + 35.5 amu = 74.6 amu)$",,47,KCl,$C_{4}H_{10}O$,${Mg}{Cl}_{2}$,$BF_{3}$,1,,,,,,,,,,,,,,,
"Which of the following terms is not used for ionic compound",,easy,"Ionic compounds are compounds made up of ions. These ions are atoms that gain or lose electrons, giving them a net positive or negative charge. Metals tend to lose electrons, so they become cations and have a net positive charge. Nonmetals tend to gain electrons, forming anions that have a net negative charge. Ionic compounds exist in the form of ions, so the term empirical formula is used for ionic compounds not the molecular formula
Supplementary info.: A molecular formula consists of the chemical symbols for the constituent elements followed by numeric subscripts describing the number of atoms of each element present in the molecule. The empirical formula represents the simplest whole-integer ratio of atoms in a compound. 
",,47,Formula unit,empirical formula,molecular formula,formula mass,3,,,,,,,,,,,,,,,
"Empirical formula:",,easy,"Empirical Formula is a formula that gives the simplest whole-number ratio of atoms in a compound. Start with the number of grams of each element, given in the problem. the mass of each element = the percent given. Divide each mole value by the smallest number of moles calculated. Empirical formula is used for both molecular and ionic compounds; it shows the simplest ratio of atoms present in a molecule",,47,"is used for both molecular and ionic compounds  ",is only used for molecular compounds,is only used for ionic compounds,none of these,1,,,,,,,,,,,,,,,
"What is the percentage composition of carbon in a molecule of carbon dioxide? (Mr (molecular mass) of carbon = 12, oxygen = 16)",,difficult," Percentage composition of carbon = (no. of atoms $\times$ atomic mass of carbon) /molecular 
mass of carbon $\times 100$
\[
=(12 / 44) \times 100=27.27 \%
\]",,47,$27.27 \%$,$34 \%$,$72.73 \%$,$66\%$,1,,,,,,,,,,,,,,,
"Combustion analysis is performed to determine: ",,easy,"Combustion analysis is a method used in both organic chemistry and analytical chemistry to determine the elemental composition (more precisely empirical formula) of a pure organic compound by combusting the sample under conditions where the resulting combustion products can be quantitatively analyzed. Mostly, elements have fractional atomic masses because atomic masses are average masses of isotopes proportional to their relative abundance",,47,Empirical formula,molecular formula,molecul a formula,formula mass,1,,,,,,,,,,,,,,,
What volume 16g of methane gas occupies at room temperature?,,difficult," Moles = mass / molar mass = 16 / 16 = 1 mole
                                      Volume = Moles $\times$ 22.414 $dm^3$ 
                                      = 1 $\times$ 22.414 $dm^3$ 
                                     =  22.414 $dm^3$ ",,47, 22.414 $dm^3$ ,29.414  $dm^3$ ,19.614  $dm^3$ ,20.514  $dm^3$ ,1,,,,,,,,,,,,,,,
which one is not correct?,,," 1 mole of any element / compound contains $6.022 \times 10^{23}$ atoms. That makes A option correct. 18g of methane (Mr of methane is 18) equals 1 mole so option is correct as well. That automatically makes D option correct since both A and B are correct. That leaves option C since:
                                  Moles = mass / molar mass
                                   = 8/16 = 0.5 moles
           No. of atoms = $Moles \times  6.022 \times  10^{23}$
                                   = $0.5 \times  6.022 \times  10^{23}$
                                   = $3.011 \times 10^{23}$ atoms",,47,1 mole of Na =  $6.022 \times  10^{23}$ atoms,18g of water =$6.022 \times  10^{23}$ atoms,8g of Methane = $6.022 \times 10^{23}$ atoms,Both A and B are correct,3,,,,,,,,,,,,,,,
"A compound contains $50\%$ sulfur and $50\%$ oxygen by mass, the empirical formula of the compound is:",,moderate," Empirical formula is calculated using the ratios of percentages with molar masses as shown below:
Dividing the percentages of elements given with their atomic masses:
\[
\begin{array}{c}
\mathrm{S}: \mathrm{O} \\
50 / 32: 50 / 16 \\
1.5625: 3.125
\end{array}
\]
Dividing all elements with least amount gives simplest ratios:
\[
1.5625 / 1.5625: 3.125 / 1.5625
\]
$1 \quad: \quad 2$
\[
\text { Formula }=\mathrm{SO}_{2}
\]",,47,$S_2O_3$,$SO_2$,$SO_3$,SO,2,,,,,,,,,,,,,,,
The minimum number of molecules are present in,,difficult,"Use no. of molecules = moles $\times$ Avogadro’s constant. Apply this formula on all option and get the correct answer through trial and error method. Applying this on option D gives the least number of molecules. 
Moles of $N_2O_5$ = Mass / molar mass
5.4 /108 = 0. 05 moles 
No. of molecules = $0.05\times 6.02\times10^{23} = 3.01 \times 10^{22}$ molecules. 
Finding molecules of other options, the same way gives the number of molecules of option D least.",,47,3.6 grams of $\mathrm{H}_{2} \mathrm{O}$,4.8 grams of $C_{2} H_{5} O H$,2.8 grams of CO,5.4 grams of $N_{2} O_{3}$,4,,,,,,,,,,,,,,,
Comment on the actual yield and theoretical yield:,,moderate, Actual yield is always less than theoretical yield. A practically inexperienced worker has many shortcomings and cannot get the expected yield. ,,47,actual yield and theoretical yield are always equal,actual yield is always less than theoretical yield,theoretical yield is always less than actual yield,actual yield and theoretical yield are not related to each other,1,,,,,,,,,,,,,,,
"50 $dm_3$ of CO is burnt completely according to the reaction, which of the following is correct? 
",,difficult,"As we have the equation of carbon monoxide reacting with oxygen to form carbon dioxide:
\[
2 \mathrm{CO}+\mathrm{O}_{2} \rightarrow 2 \mathrm{CO}_{2}
\]
Now look at the molar ratio of carbon dioxide and oxygen:
Moles of $\mathrm{CO}: \mathrm{O}_{2} \rightarrow 2: 1$
As volume ratio is found out by looking at the molar ratios, and since molar ratios of Carbon monoxide and oxygen is 2: 1 the volume of ration will be:
Volume ratio 50: 25
So, $50 \mathrm{dm}_{3}$ of CO requires $25 \mathrm{dm}_{3}$ of oxygen",,47,volume of $\mathrm{O}_{2}$ required is $25 \mathrm{dm}_{3}$,volume of $\mathrm{CO}_{2}$ formed is $60 \mathrm{dm}$,volume of $\mathrm{O}_{2}$ required is $5 \mathrm{dm}_{3}$,volume of CO formed is $25 \mathrm{dm}_{3}$,,,,,,,,,,,,,,,,
what describes a limiting reactant?,,easy,Limiting reactant is a reactant that produces the least number of Moles of product. It is consumed earlier in the reaction. It controls the number of products formed in a chemical reaction due to being less than the required amount,,47,It is a reactant that produces least number of moles of product,It is a product that is produced in least amount in a chemical reaction,It is a reactant that that remains after a chemical reaction,It is a reactant that limits it's reacting capability,1,,,,,,,,,,,,,,,
One mole of \( \mathrm{C}_{2} \mathrm{H}_{5} \mathrm{OH} \) and \( \mathrm{CH}_{3} \) have equal number of:,,moderate,"Since number of molecules = number of molecules x number of moles x Avogadro's constant
\[
\begin{array}{l}
\mathrm{C}_{2} \mathrm{H}_{5} \mathrm{OH}=1 \times 1 \times 6.022 \times 10^{23}=6.022 \times 10^{23} \text { molecules } \\
\qquad \mathrm{CH}_{3}=1 \times 1 \times 6.022 \times 10^{23}=6.022 \times 10^{23} \mathrm{molecules}
\end{array}
\]",,47,Atoms,Molecules,Electrons,Protons,2,,,,,,,,,,,,,,,
Naturally occurring isotopes of carbon are,,moderate,"Naturally there are three isotopes of carbon existing which are $C_{12}$, $C_{13}$, and $C_{14}$",,47,4,5,3,2,3,,,,,,,,,,,,,,,
The percentage of oxygen in water is:,,moderate,"(no. of atoms of oxygen $\times$atomic mass of oxygen) / molecular mass of water 
                      (16/18) $\times$ 100 = 88.88\%
",,47,80,88.88,8.8,9.8,2,,,,,,,,,,,,,,,
which option shows a wrong formula to calculate the number of moles?,,easy,The correct formula using volume and molar gas constant is moles = volume / molar gas constant as stated in option B,,47,Mass / molar mass,Volume / molar gas constant,Concentration $\times$ volume, Volume $\times$molar gas constant,4,,,,,,,,,,,,,,,
Represents the volume occupied by any gas at STP in L/n,,difficult,All gases occupy 22.4 $dm^{3}$ at standard temperature and pressure.,,47,$22.4$,$6\times10^{22}$,$1.2\times10^{24}$,$149$,1,,,,,,,,,,,,,,,
The number of hydrogen atoms in a 0.9-gram sample of water,,difficult,(mass / molar mass) $\times$ no. of atoms of hydrogen in water $\times$ Avogadro's constant \( =(0.9 / 18) \times 6.022 \times 10^{23} \times 2=6 \times 10^{22} \) atoms of hydrogen,,47,$22.4$,$6\times10^{22}$,$1.2\times10^{24}$,$149$,2,,,,,,,,,,,,,,,
The molar mass of ammonium phosphate,,difficult,"sum of (number of atoms of each type of atom x molar mass of that atom)
\[
\begin{array}{rl}
\left(\mathrm{NH}_{4}\right)_{3} \mathrm{PO}_{4} & 3 \mathrm{N} \times 14.01 \mathrm{g} / \mathrm{mol}=42.03 \,\mathrm{g} / \mathrm{mol} \\
&12 \mathrm{H} \times 1.008 \mathrm{g} / \mathrm{mol}=12.096 \,\mathrm{g} / \mathrm{mol} \\
& \,\,\,1 \mathrm{P} \times 30.97 \mathrm{g} / \mathrm{mol}=30.97 \, \mathrm{g} / \mathrm{mol} \\
& 4 \mathrm{O} \times 16.00 \mathrm{g} / \mathrm{mol}=64.00 \,\mathrm{g} / \mathrm{mol}  \\
\hline &\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\, \mathrm{Sum}=149.096 \mathrm{g} / \mathrm{mol}
\end{array}
\]",,47,$22.4$,$6\times10^{22}$,$1.2\times10^{24}$,$149$,4,,,,,,,,,,,,,,,
Which of the following compounds have the same empirical formula?,,moderate,"Taking out the simplest ratios of choices given in option D leads us to the same empirical formula of \( \mathrm{C} \mathrm{H}_{2}\)
\( \mathrm{C}_{6} \mathrm{H}_{12} / 2=\mathrm{CH}_{2} \quad \mathrm{C}_{7} \mathrm{H}_{14} / 2=\mathrm{CH}_{2} \) 
The simplest form of both molecules in option \( \mathrm{D} \) are \( \mathrm{CH}_{2} \)
",,47,\( C_{4} \mathrm{H}_{10} \) and \( \mathrm{C}_{10} \mathrm{H}_{4} \),\( \mathrm{NO} \) and \( \mathrm{NO}_{2} \),\( \mathrm{CO}_{2} \) and \( \mathrm{SO}_{2} \),\( \mathrm{C}_{6} \mathrm{H}_{12} \) and \( \mathrm{C}_{7} \mathrm{H}_{14} \),4,,,,,,,,,,,,,,,
"Which of the following is not a separation technique?",,easy,"Separation techniques are those techniques that can be used to separate two different states of matter such as liquid and solid. Such separation techniques include filtration, decanting or sublimation. Boiling is not a separation technique it is the change of state of a substance from liquid do vapors",,48,Filtration,Sublimation,Boiling,Decanting,3,,,,,,,,,,,,,,,
